,item,n,corr,total_tonnes_exported
0,animal fats and oils (excl. butter),16,0.8927179095208583,335600.0
1,apple,16,0.6494364854981535,1659010.0
2,avocados,16,-0.5269650461265402,64507.0
3,bananas,16,0.7132411473927436,1907659.0
4,barley,16,-0.644346226110039,1586578.0
5,"beans, dry",16,-0.4481873042335411,759676.0
6,beef,16,0.005229499966846001,47949758.0
7,beet pulp,16,-0.12475507310822001,11805.0
8,"bran, maize",16,0.30499233166633877,60834.0
9,"brazil nuts, shelled",16,0.46922556308593766,27544.0
10,buckwheat,16,-0.5491022391225355,13085.0
11,"cake, cottonseed",16,0.6752661420941357,22990.0
12,carrots and turnips,16,-0.21235159376545715,27216.0
13,cashew,16,0.580285807453831,469185.0
14,cereal,16,-0.5496887469058153,298769912.0
15,"cheese, processed",16,0.3499539936052812,33414.0
16,chicken,16,-0.8664278161600889,118536501.0
17,chocolate products nes,16,0.9043535063532016,548600.0
18,cider etc,16,-0.652679790169584,64245.0
19,cigarettes,16,0.6093638928639122,28355.0
20,citrus,16,-0.4439627595340818,159087.0
21,cloves,16,0.30776910191592116,56222.0
22,cocoa,16,0.7272503351793584,1023312.0
23,coconut,16,-0.3175467815972107,15696.0
24,coffee,16,-0.5524086939373424,28638616.0
25,cotton,16,-0.4392573327678163,12104049.0
26,cream fresh,16,-0.8025289004727169,94526.0
27,crude materials nes,16,0.04825707731454748,83413.0
28,dairy products,16,0.35926706092737376,997974.0
29,egg,16,-0.42025825412671014,862824.0
30,"fat nes, prepared",16,-0.0044371300907180816,31344.0
31,fatty acids,16,-0.12407176595219668,461760.0
32,fatty substance residues,16,0.21000335773985485,16388.0
33,"feed, pulp of fruit",16,0.6966828654771563,7219621.0
34,fibre crops nes,16,-0.8002200557006452,371330.0
35,fig,16,-0.5215654896614856,20811.0
36,flour,16,-0.590233701828667,1889432.0
37,fodder and feeding stuff,16,0.05940049965900397,236693075.0
38,food prep nes,16,-0.12964763632355106,2936252.0
39,food wastes,16,-0.5918338674548234,2221547.0
40,fruit,16,-0.33397877938586473,47975980.0
41,ginger,16,0.04725980653984144,123052.0
42,glucose and dextrose,16,0.1631091024997834,125896.0
43,grape,16,0.0969532882688603,866965.0
44,groundnut,16,-0.4006185401582863,2022476.0
45,hides and skins,16,0.04237401430681239,153089.0
46,"honey, natural",16,-0.2905229299817262,338494.0
47,infant food,16,0.778635829968424,134753.0
48,"juice, fruit nes",16,-0.5763064643322167,788062.0
49,lard,16,-0.5513264322233634,49746.0
50,lemon,16,-0.6171261024071426,1219762.0
51,macaroni,16,-0.35446267237750223,142897.0
52,maize,16,-0.5275305192645525,268952161.0
53,malt,16,0.26109053728896836,60571.0
54,"mangoes, mangosteens, guavas",16,-0.3092127652188335,2211166.0
55,"margarine, short",16,0.1166228483850803,384463.0
56,mat,16,-0.7586035791322094,540055.0
57,"meal, meat",16,-0.32411188127445406,1348634.0
58,"meat, dried nes",16,-0.7949221494629186,2187654.0
59,"meat, duck",16,-0.6627671172132615,32529.0
60,"meat, horse",16,0.8995515893363945,114694.0
61,"meat, pork",16,-0.34943179992875845,7021475.0
62,"meat, turkey",16,0.6243079096566398,1345324.0
63,"melons, other (inc.cantaloupes)",16,-0.4497003475793128,3144187.0
64,milk,16,0.36259833702363764,840475.0
65,mixes and doughs,16,-0.11132922924981031,64195.0
66,molasses,16,0.6230931431439555,255282.0
67,oat,16,-0.45592969170273623,76353.0
68,offal,16,-0.7126776251651119,2574153.0
69,"oil, boiled etc",16,-0.1502521205982905,180870.0
70,"oil, castor beans",16,0.19458356134321597,39752.0
71,"oil, cottonseed",16,0.8701651457902755,214709.0
72,"oil, essential nes",16,0.5603223411267239,1038002.0
73,"oil, maize",16,0.3802124461333599,466730.0
74,"oil, palm",16,-0.4926204866222456,778905.0
75,"oil, rapeseed",16,0.3589040367332577,13493.0
76,oilseed,16,-0.4583101493305119,658861679.0
77,"onions, shallots, green",16,-0.08702585521413826,141464.0
78,orange,16,-0.5704051978915072,32973065.0
79,other beverages,16,-0.5193599840229893,5777588.0
80,other food,16,-0.4638566090381426,729280385.0
81,other meat,16,-0.7683135088751116,2372306.0
82,other nuts,16,-0.16978819563961633,2174932.0
83,other vegetables,16,0.7518492861807469,32575623.0
84,papayas,16,0.21368705747479788,543480.0
85,pastry,16,0.2979650634425365,563439.0
86,pepper,16,0.21299326569435043,740402.0
87,pet food,16,0.31470491420049923,492349.0
88,pig,16,0.08113954714366192,14964412.0
89,pineapple,16,0.7364921328843564,276432.0
90,potatoes,16,-0.3419909263425314,84458.0
91,pulses,16,-0.3993857524272338,857357.0
92,"pumpkins, squash and gourds",16,-0.18595331095076192,30891.0
93,rice,16,-0.7108339528996742,22148193.0
94,root,16,-0.16585080340656516,482494.0
95,rubber,16,-0.4825551598242515,77535.0
96,sesame seed,16,-0.052939228430345084,28999.0
97,sorghum,16,0.4858696764171063,491646.0
98,soya sauce,16,-0.6808686350423032,10263.0
99,soybean,16,-0.42880895343467995,911134011.0
100,spices nes,16,0.11248144606222735,10783.0
101,"starch, cassava",16,0.1407913124879075,143771.0
102,straw husks,16,0.769297536217488,22864.0
103,sugar,16,-0.7486942695099923,735303054.0
104,sunflower,16,0.7425391041129157,34788.0
105,sweet corn,16,-0.3774693108987812,183525.0
106,sweet potatoes,16,-0.2230515924943101,79642.0
107,tallow,16,0.8664417959827989,173616.0
108,"tangerines, mandarins, clementines, satsumas",16,0.9489407888717671,65397.0
109,tea,16,0.6663276841376676,29499.0
110,textile fibres,16,-0.45444622419022024,12214508.0
111,tobacco,16,0.31342648652664495,18266266.0
112,tomato,16,0.6403896010194657,125079.0
113,wafers,16,-0.5582569977339512,258324.0
114,watermelon,16,-0.3361284065361411,705886.0
115,"waters,ice etc",16,-0.033623344254144004,20348.0
116,wheat,16,-0.2087531889099847,14722729.0
117,wine,16,-0.19194432299611155,107864.0
118,wool,16,-0.8117887892491942,115016.0
