,item,year,tonnes_exported
43,alfalfa meal and pellets,2004,0.0
44,alfalfa meal and pellets,2005,3.0
45,alfalfa meal and pellets,2006,0.0
46,alfalfa meal and pellets,2007,0.0
47,alfalfa meal and pellets,2008,14.0
48,alfalfa meal and pellets,2009,8.0
49,alfalfa meal and pellets,2010,0.0
50,alfalfa meal and pellets,2011,75.0
51,alfalfa meal and pellets,2012,0.0
52,alfalfa meal and pellets,2013,0.0
53,alfalfa meal and pellets,2014,92.0
54,alfalfa meal and pellets,2015,0.0
55,alfalfa meal and pellets,2016,0.0
56,alfalfa meal and pellets,2017,0.0
57,alfalfa meal and pellets,2018,92.0
58,alfalfa meal and pellets,2019,44.0
102,almonds,2004,10.0
103,almonds,2005,0.0
104,almonds,2006,0.0
105,almonds,2007,0.0
106,almonds,2008,0.0
107,almonds,2009,0.0
108,almonds,2010,0.0
109,almonds,2011,1.0
110,almonds,2012,0.0
111,almonds,2013,2.0
112,almonds,2014,1.0
113,almonds,2015,0.0
114,almonds,2016,0.0
115,almonds,2017,0.0
116,almonds,2018,0.0
117,almonds,2019,26.0
161,animal fats and oils (excl. butter),2004,61326.0
162,animal fats and oils (excl. butter),2005,60197.0
163,animal fats and oils (excl. butter),2006,27612.0
164,animal fats and oils (excl. butter),2007,32826.0
165,animal fats and oils (excl. butter),2008,9968.0
166,animal fats and oils (excl. butter),2009,11938.0
167,animal fats and oils (excl. butter),2010,12351.0
168,animal fats and oils (excl. butter),2011,7892.0
169,animal fats and oils (excl. butter),2012,12280.0
170,animal fats and oils (excl. butter),2013,19143.0
171,animal fats and oils (excl. butter),2014,6929.0
172,animal fats and oils (excl. butter),2015,12112.0
173,animal fats and oils (excl. butter),2016,13866.0
174,animal fats and oils (excl. butter),2017,17967.0
175,animal fats and oils (excl. butter),2018,10472.0
176,animal fats and oils (excl. butter),2019,18721.0
220,"anise, badian, fennel, coriander",2004,58.0
221,"anise, badian, fennel, coriander",2005,12.0
222,"anise, badian, fennel, coriander",2006,26.0
223,"anise, badian, fennel, coriander",2007,137.0
224,"anise, badian, fennel, coriander",2008,24.0
225,"anise, badian, fennel, coriander",2009,16.0
226,"anise, badian, fennel, coriander",2010,1.0
227,"anise, badian, fennel, coriander",2011,5.0
228,"anise, badian, fennel, coriander",2012,13.0
229,"anise, badian, fennel, coriander",2013,6.0
230,"anise, badian, fennel, coriander",2014,26.0
231,"anise, badian, fennel, coriander",2015,4.0
232,"anise, badian, fennel, coriander",2016,3.0
233,"anise, badian, fennel, coriander",2017,2.0
234,"anise, badian, fennel, coriander",2018,5.0
235,"anise, badian, fennel, coriander",2019,21.0
279,apple,2004,31538.0
280,apple,2005,33796.0
281,apple,2006,22642.0
282,apple,2007,30135.0
283,apple,2008,30662.0
284,apple,2009,22069.0
285,apple,2010,38398.0
286,apple,2011,31609.0
287,apple,2012,37069.0
288,apple,2013,24774.0
289,apple,2014,15838.0
290,apple,2015,23533.0
291,apple,2016,11497.0
292,apple,2017,17149.0
293,apple,2018,26908.0
294,apple,2019,14144.0
338,apples,2004,153043.0
339,apples,2005,99332.0
340,apples,2006,57147.0
341,apples,2007,112076.0
342,apples,2008,112250.0
343,apples,2009,98264.0
344,apples,2010,90839.0
345,apples,2011,48666.0
346,apples,2012,72253.0
347,apples,2013,85429.0
348,apples,2014,44294.0
349,apples,2015,60112.0
350,apples,2016,30646.0
351,apples,2017,55437.0
352,apples,2018,70997.0
353,apples,2019,56464.0
397,apricots,2004,0.0
398,apricots,2005,0.0
399,apricots,2006,3.0
400,apricots,2007,0.0
401,apricots,2008,0.0
402,apricots,2009,0.0
403,apricots,2010,1.0
404,apricots,2011,1.0
405,apricots,2012,0.0
406,apricots,2013,1.0
407,apricots,2014,14.0
408,apricots,2015,0.0
409,apricots,2016,0.0
410,apricots,2017,0.0
411,apricots,2018,0.0
412,apricots,2019,58.0
456,areca nuts,2004,0.0
457,areca nuts,2005,0.0
458,areca nuts,2006,0.0
459,areca nuts,2007,0.0
460,areca nuts,2008,0.0
461,areca nuts,2009,0.0
462,areca nuts,2010,0.0
463,areca nuts,2011,0.0
464,areca nuts,2012,0.0
465,areca nuts,2013,0.0
466,areca nuts,2014,0.0
467,areca nuts,2015,0.0
468,areca nuts,2016,0.0
469,areca nuts,2017,0.0
470,areca nuts,2018,0.0
471,areca nuts,2019,0.0
515,artichokes,2004,0.0
516,artichokes,2005,0.0
517,artichokes,2006,0.0
518,artichokes,2007,0.0
519,artichokes,2008,0.0
520,artichokes,2009,0.0
521,artichokes,2010,0.0
