,item,year,tonnes_exported,deforested_area_km2
0,alfalfa meal and pellets,1961,0.0,
1,alfalfa meal and pellets,1962,0.0,
2,alfalfa meal and pellets,1963,0.0,
3,alfalfa meal and pellets,1964,0.0,
4,alfalfa meal and pellets,1965,0.0,
5,alfalfa meal and pellets,1966,0.0,
6,alfalfa meal and pellets,1967,0.0,
7,alfalfa meal and pellets,1968,0.0,
8,alfalfa meal and pellets,1969,0.0,
9,alfalfa meal and pellets,1970,0.0,
10,alfalfa meal and pellets,1971,0.0,
11,alfalfa meal and pellets,1972,0.0,
12,alfalfa meal and pellets,1973,0.0,
13,alfalfa meal and pellets,1974,0.0,
14,alfalfa meal and pellets,1975,0.0,
15,alfalfa meal and pellets,1976,0.0,
16,alfalfa meal and pellets,1977,0.0,
17,alfalfa meal and pellets,1978,0.0,
18,alfalfa meal and pellets,1979,0.0,
19,alfalfa meal and pellets,1980,0.0,
20,alfalfa meal and pellets,1981,0.0,
21,alfalfa meal and pellets,1982,0.0,
22,alfalfa meal and pellets,1983,0.0,
23,alfalfa meal and pellets,1984,0.0,
24,alfalfa meal and pellets,1985,0.0,
25,alfalfa meal and pellets,1986,0.0,
26,alfalfa meal and pellets,1987,0.0,
27,alfalfa meal and pellets,1988,0.0,
28,alfalfa meal and pellets,1989,0.0,
29,alfalfa meal and pellets,1990,0.0,
30,alfalfa meal and pellets,1991,0.0,
31,alfalfa meal and pellets,1992,0.0,
32,alfalfa meal and pellets,1993,0.0,
33,alfalfa meal and pellets,1994,0.0,
34,alfalfa meal and pellets,1995,0.0,
35,alfalfa meal and pellets,1996,0.0,
36,alfalfa meal and pellets,1997,0.0,
37,alfalfa meal and pellets,1998,0.0,
38,alfalfa meal and pellets,1999,0.0,
39,alfalfa meal and pellets,2000,0.0,
40,alfalfa meal and pellets,2001,2.0,
41,alfalfa meal and pellets,2002,0.0,
42,alfalfa meal and pellets,2003,1.0,
43,alfalfa meal and pellets,2004,0.0,27772.0
44,alfalfa meal and pellets,2005,3.0,19014.0
45,alfalfa meal and pellets,2006,0.0,14286.0
46,alfalfa meal and pellets,2007,0.0,11651.0
47,alfalfa meal and pellets,2008,14.0,12911.0
48,alfalfa meal and pellets,2009,8.0,7464.0
49,alfalfa meal and pellets,2010,0.0,7000.0
50,alfalfa meal and pellets,2011,75.0,6418.0
51,alfalfa meal and pellets,2012,0.0,4571.0
52,alfalfa meal and pellets,2013,0.0,5891.0
53,alfalfa meal and pellets,2014,92.0,5012.0
54,alfalfa meal and pellets,2015,0.0,6207.0
55,alfalfa meal and pellets,2016,0.0,7893.0
56,alfalfa meal and pellets,2017,0.0,6947.0
57,alfalfa meal and pellets,2018,92.0,7536.0
58,alfalfa meal and pellets,2019,44.0,10129.0
59,almond,1961,0.0,
60,almond,1962,0.0,
61,almond,1963,0.0,
62,almond,1964,0.0,
63,almond,1965,0.0,
64,almond,1966,0.0,
65,almond,1967,0.0,
66,almond,1968,0.0,
67,almond,1969,0.0,
68,almond,1970,0.0,
69,almond,1971,0.0,
70,almond,1972,0.0,
71,almond,1973,0.0,
72,almond,1974,0.0,
73,almond,1975,0.0,
74,almond,1976,0.0,
75,almond,1977,0.0,
76,almond,1978,0.0,
77,almond,1979,0.0,
78,almond,1980,0.0,
79,almond,1981,0.0,
80,almond,1982,0.0,
81,almond,1983,0.0,
82,almond,1984,0.0,
83,almond,1985,0.0,
84,almond,1986,0.0,
85,almond,1987,0.0,
86,almond,1988,0.0,
87,almond,1989,0.0,
88,almond,1990,0.0,
89,almond,1991,0.0,
90,almond,1992,0.0,
91,almond,1993,0.0,
92,almond,1994,0.0,
93,almond,1995,0.0,
94,almond,1996,0.0,
95,almond,1997,0.0,
96,almond,1998,0.0,
97,almond,1999,32.0,
98,almond,2000,0.0,
99,almond,2001,10.0,
100,almond,2002,34.0,
101,almond,2003,0.0,
102,almond,2004,10.0,27772.0
103,almond,2005,0.0,19014.0
104,almond,2006,0.0,14286.0
105,almond,2007,0.0,11651.0
106,almond,2008,0.0,12911.0
107,almond,2009,0.0,7464.0
108,almond,2010,0.0,7000.0
109,almond,2011,1.0,6418.0
110,almond,2012,0.0,4571.0
111,almond,2013,2.0,5891.0
112,almond,2014,1.0,5012.0
113,almond,2015,0.0,6207.0
114,almond,2016,0.0,7893.0
115,almond,2017,0.0,6947.0
116,almond,2018,0.0,7536.0
117,almond,2019,26.0,10129.0
118,animal fats and oils (excl. butter),1961,0.0,
119,animal fats and oils (excl. butter),1962,0.0,
120,animal fats and oils (excl. butter),1963,0.0,
121,animal fats and oils (excl. butter),1964,0.0,
122,animal fats and oils (excl. butter),1965,0.0,
123,animal fats and oils (excl. butter),1966,0.0,
124,animal fats and oils (excl. butter),1967,0.0,
125,animal fats and oils (excl. butter),1968,10.0,
126,animal fats and oils (excl. butter),1969,34.0,
127,animal fats and oils (excl. butter),1970,38.0,
128,animal fats and oils (excl. butter),1971,327.0,
129,animal fats and oils (excl. butter),1972,227.0,
130,animal fats and oils (excl. butter),1973,57.0,
131,animal fats and oils (excl. butter),1974,38.0,
132,animal fats and oils (excl. butter),1975,137.0,
133,animal fats and oils (excl. butter),1976,90.0,
134,animal fats and oils (excl. butter),1977,10.0,
135,animal fats and oils (excl. butter),1978,8.0,
136,animal fats and oils (excl. butter),1979,2.0,
137,animal fats and oils (excl. butter),1980,66.0,
138,animal fats and oils (excl. butter),1981,244.0,
139,animal fats and oils (excl. butter),1982,89.0,
140,animal fats and oils (excl. butter),1983,322.0,
141,animal fats and oils (excl. butter),1984,202.0,
142,animal fats and oils (excl. butter),1985,326.0,
143,animal fats and oils (excl. butter),1986,1077.0,
144,animal fats and oils (excl. butter),1987,1064.0,
145,animal fats and oils (excl. butter),1988,3215.0,
146,animal fats and oils (excl. butter),1989,974.0,
147,animal fats and oils (excl. butter),1990,66.0,
148,animal fats and oils (excl. butter),1991,313.0,
149,animal fats and oils (excl. butter),1992,2837.0,
150,animal fats and oils (excl. butter),1993,1826.0,
151,animal fats and oils (excl. butter),1994,1433.0,
152,animal fats and oils (excl. butter),1995,4449.0,
153,animal fats and oils (excl. butter),1996,22872.0,
154,animal fats and oils (excl. butter),1997,18345.0,
155,animal fats and oils (excl. butter),1998,11599.0,
156,animal fats and oils (excl. butter),1999,9438.0,
157,animal fats and oils (excl. butter),2000,11693.0,
158,animal fats and oils (excl. butter),2001,35406.0,
159,animal fats and oils (excl. butter),2002,26376.0,
160,animal fats and oils (excl. butter),2003,20681.0,
161,animal fats and oils (excl. butter),2004,61326.0,27772.0
162,animal fats and oils (excl. butter),2005,60197.0,19014.0
163,animal fats and oils (excl. butter),2006,27612.0,14286.0
164,animal fats and oils (excl. butter),2007,32826.0,11651.0
165,animal fats and oils (excl. butter),2008,9968.0,12911.0
166,animal fats and oils (excl. butter),2009,11938.0,7464.0
167,animal fats and oils (excl. butter),2010,12351.0,7000.0
168,animal fats and oils (excl. butter),2011,7892.0,6418.0
169,animal fats and oils (excl. butter),2012,12280.0,4571.0
170,animal fats and oils (excl. butter),2013,19143.0,5891.0
171,animal fats and oils (excl. butter),2014,6929.0,5012.0
172,animal fats and oils (excl. butter),2015,12112.0,6207.0
173,animal fats and oils (excl. butter),2016,13866.0,7893.0
174,animal fats and oils (excl. butter),2017,17967.0,6947.0
175,animal fats and oils (excl. butter),2018,10472.0,7536.0
176,animal fats and oils (excl. butter),2019,18721.0,10129.0
177,"anise, badian, fennel, coriander",1961,0.0,
178,"anise, badian, fennel, coriander",1962,0.0,
179,"anise, badian, fennel, coriander",1963,0.0,
180,"anise, badian, fennel, coriander",1964,0.0,
181,"anise, badian, fennel, coriander",1965,0.0,
182,"anise, badian, fennel, coriander",1966,20.0,
183,"anise, badian, fennel, coriander",1967,0.0,
184,"anise, badian, fennel, coriander",1968,0.0,
185,"anise, badian, fennel, coriander",1969,0.0,
186,"anise, badian, fennel, coriander",1970,0.0,
187,"anise, badian, fennel, coriander",1971,0.0,
188,"anise, badian, fennel, coriander",1972,0.0,
189,"anise, badian, fennel, coriander",1973,0.0,
190,"anise, badian, fennel, coriander",1974,0.0,
191,"anise, badian, fennel, coriander",1975,0.0,
192,"anise, badian, fennel, coriander",1976,0.0,
193,"anise, badian, fennel, coriander",1977,0.0,
194,"anise, badian, fennel, coriander",1978,10.0,
195,"anise, badian, fennel, coriander",1979,6.0,
196,"anise, badian, fennel, coriander",1980,0.0,
197,"anise, badian, fennel, coriander",1981,0.0,
198,"anise, badian, fennel, coriander",1982,0.0,
199,"anise, badian, fennel, coriander",1983,7.0,
200,"anise, badian, fennel, coriander",1984,0.0,
201,"anise, badian, fennel, coriander",1985,1.0,
202,"anise, badian, fennel, coriander",1986,0.0,
203,"anise, badian, fennel, coriander",1987,1.0,
204,"anise, badian, fennel, coriander",1988,1.0,
205,"anise, badian, fennel, coriander",1989,0.0,
206,"anise, badian, fennel, coriander",1990,61.0,
207,"anise, badian, fennel, coriander",1991,7.0,
208,"anise, badian, fennel, coriander",1992,0.0,
209,"anise, badian, fennel, coriander",1993,10.0,
210,"anise, badian, fennel, coriander",1994,8.0,
211,"anise, badian, fennel, coriander",1995,0.0,
212,"anise, badian, fennel, coriander",1996,5.0,
213,"anise, badian, fennel, coriander",1997,1.0,
214,"anise, badian, fennel, coriander",1998,0.0,
215,"anise, badian, fennel, coriander",1999,0.0,
216,"anise, badian, fennel, coriander",2000,2.0,
217,"anise, badian, fennel, coriander",2001,1.0,
218,"anise, badian, fennel, coriander",2002,1.0,
219,"anise, badian, fennel, coriander",2003,14.0,
220,"anise, badian, fennel, coriander",2004,58.0,27772.0
221,"anise, badian, fennel, coriander",2005,12.0,19014.0
222,"anise, badian, fennel, coriander",2006,26.0,14286.0
223,"anise, badian, fennel, coriander",2007,137.0,11651.0
224,"anise, badian, fennel, coriander",2008,24.0,12911.0
225,"anise, badian, fennel, coriander",2009,16.0,7464.0
226,"anise, badian, fennel, coriander",2010,1.0,7000.0
227,"anise, badian, fennel, coriander",2011,5.0,6418.0
228,"anise, badian, fennel, coriander",2012,13.0,4571.0
229,"anise, badian, fennel, coriander",2013,6.0,5891.0
230,"anise, badian, fennel, coriander",2014,26.0,5012.0
231,"anise, badian, fennel, coriander",2015,4.0,6207.0
232,"anise, badian, fennel, coriander",2016,3.0,7893.0
233,"anise, badian, fennel, coriander",2017,2.0,6947.0
234,"anise, badian, fennel, coriander",2018,5.0,7536.0
235,"anise, badian, fennel, coriander",2019,21.0,10129.0
236,apple,1961,0.0,
237,apple,1962,0.0,
238,apple,1963,0.0,
239,apple,1964,0.0,
240,apple,1965,0.0,
241,apple,1966,0.0,
242,apple,1967,0.0,
243,apple,1968,0.0,
244,apple,1969,0.0,
245,apple,1970,0.0,
246,apple,1971,0.0,
247,apple,1972,0.0,
248,apple,1973,0.0,
249,apple,1974,0.0,
250,apple,1975,0.0,
251,apple,1976,0.0,
252,apple,1977,0.0,
253,apple,1978,0.0,
254,apple,1979,0.0,
255,apple,1980,0.0,
256,apple,1981,0.0,
257,apple,1982,0.0,
258,apple,1983,0.0,
259,apple,1984,0.0,
260,apple,1985,2.0,
261,apple,1986,33.0,
262,apple,1987,117.0,
263,apple,1988,608.0,
264,apple,1989,3061.0,
265,apple,1990,6298.0,
266,apple,1991,3333.0,
267,apple,1992,36484.0,
268,apple,1993,29966.0,
269,apple,1994,35685.0,
270,apple,1995,18600.0,
271,apple,1996,15089.0,
272,apple,1997,32210.0,
273,apple,1998,20752.0,
274,apple,1999,69018.0,
275,apple,2000,88239.0,
276,apple,2001,45973.0,
277,apple,2002,87159.0,
278,apple,2003,97129.0,
279,apple,2004,184581.0,27772.0
280,apple,2005,133128.0,19014.0
281,apple,2006,79789.0,14286.0
282,apple,2007,142211.0,11651.0
283,apple,2008,142912.0,12911.0
284,apple,2009,120333.0,7464.0
285,apple,2010,129237.0,7000.0
286,apple,2011,80275.0,6418.0
287,apple,2012,109322.0,4571.0
288,apple,2013,110203.0,5891.0
289,apple,2014,60132.0,5012.0
290,apple,2015,83645.0,6207.0
291,apple,2016,42143.0,7893.0
292,apple,2017,72586.0,6947.0
293,apple,2018,97905.0,7536.0
294,apple,2019,70608.0,10129.0
295,apricot,1961,0.0,
296,apricot,1962,0.0,
297,apricot,1963,0.0,
298,apricot,1964,0.0,
299,apricot,1965,0.0,
300,apricot,1966,0.0,
301,apricot,1967,0.0,
302,apricot,1968,0.0,
303,apricot,1969,0.0,
304,apricot,1970,0.0,
305,apricot,1971,0.0,
306,apricot,1972,0.0,
307,apricot,1973,0.0,
308,apricot,1974,0.0,
309,apricot,1975,0.0,
310,apricot,1976,0.0,
311,apricot,1977,0.0,
312,apricot,1978,0.0,
313,apricot,1979,0.0,
314,apricot,1980,0.0,
315,apricot,1981,0.0,
316,apricot,1982,0.0,
317,apricot,1983,0.0,
318,apricot,1984,0.0,
319,apricot,1985,0.0,
320,apricot,1986,0.0,
321,apricot,1987,0.0,
322,apricot,1988,0.0,
323,apricot,1989,1.0,
324,apricot,1990,0.0,
325,apricot,1991,0.0,
326,apricot,1992,0.0,
327,apricot,1993,0.0,
328,apricot,1994,0.0,
329,apricot,1995,0.0,
330,apricot,1996,0.0,
331,apricot,1997,0.0,
332,apricot,1998,0.0,
333,apricot,1999,14.0,
334,apricot,2000,0.0,
335,apricot,2001,0.0,
336,apricot,2002,20.0,
337,apricot,2003,0.0,
338,apricot,2004,0.0,27772.0
339,apricot,2005,0.0,19014.0
340,apricot,2006,3.0,14286.0
341,apricot,2007,0.0,11651.0
342,apricot,2008,0.0,12911.0
343,apricot,2009,0.0,7464.0
344,apricot,2010,1.0,7000.0
345,apricot,2011,1.0,6418.0
346,apricot,2012,0.0,4571.0
347,apricot,2013,1.0,5891.0
348,apricot,2014,14.0,5012.0
349,apricot,2015,0.0,6207.0
350,apricot,2016,0.0,7893.0
351,apricot,2017,0.0,6947.0
352,apricot,2018,0.0,7536.0
353,apricot,2019,58.0,10129.0
354,areca nuts,1961,0.0,
355,areca nuts,1962,0.0,
356,areca nuts,1963,0.0,
357,areca nuts,1964,0.0,
358,areca nuts,1965,0.0,
359,areca nuts,1966,0.0,
360,areca nuts,1967,0.0,
361,areca nuts,1968,0.0,
362,areca nuts,1969,0.0,
363,areca nuts,1970,0.0,
364,areca nuts,1971,0.0,
365,areca nuts,1972,0.0,
366,areca nuts,1973,0.0,
367,areca nuts,1974,0.0,
368,areca nuts,1975,0.0,
369,areca nuts,1976,0.0,
370,areca nuts,1977,0.0,
371,areca nuts,1978,0.0,
372,areca nuts,1979,0.0,
373,areca nuts,1980,0.0,
374,areca nuts,1981,0.0,
375,areca nuts,1982,0.0,
376,areca nuts,1983,0.0,
377,areca nuts,1984,0.0,
378,areca nuts,1985,0.0,
379,areca nuts,1986,0.0,
380,areca nuts,1987,0.0,
381,areca nuts,1988,0.0,
382,areca nuts,1989,0.0,
383,areca nuts,1990,0.0,
384,areca nuts,1991,0.0,
385,areca nuts,1992,0.0,
386,areca nuts,1993,0.0,
387,areca nuts,1994,0.0,
388,areca nuts,1995,0.0,
389,areca nuts,1996,0.0,
390,areca nuts,1997,0.0,
391,areca nuts,1998,0.0,
392,areca nuts,1999,0.0,
393,areca nuts,2000,0.0,
394,areca nuts,2001,0.0,
395,areca nuts,2002,0.0,
396,areca nuts,2003,0.0,
397,areca nuts,2004,0.0,27772.0
398,areca nuts,2005,0.0,19014.0
399,areca nuts,2006,0.0,14286.0
400,areca nuts,2007,0.0,11651.0
401,areca nuts,2008,0.0,12911.0
402,areca nuts,2009,0.0,7464.0
403,areca nuts,2010,0.0,7000.0
404,areca nuts,2011,0.0,6418.0
405,areca nuts,2012,0.0,4571.0
406,areca nuts,2013,0.0,5891.0
407,areca nuts,2014,0.0,5012.0
408,areca nuts,2015,0.0,6207.0
409,areca nuts,2016,0.0,7893.0
410,areca nuts,2017,0.0,6947.0
411,areca nuts,2018,0.0,7536.0
412,areca nuts,2019,0.0,10129.0
413,artichokes,1961,0.0,
414,artichokes,1962,0.0,
415,artichokes,1963,0.0,
416,artichokes,1964,0.0,
417,artichokes,1965,0.0,
418,artichokes,1966,0.0,
419,artichokes,1967,0.0,
420,artichokes,1968,0.0,
421,artichokes,1969,0.0,
422,artichokes,1970,0.0,
423,artichokes,1971,0.0,
424,artichokes,1972,0.0,
425,artichokes,1973,0.0,
426,artichokes,1974,0.0,
427,artichokes,1975,0.0,
428,artichokes,1976,0.0,
429,artichokes,1977,0.0,
430,artichokes,1978,0.0,
431,artichokes,1979,0.0,
432,artichokes,1980,0.0,
433,artichokes,1981,0.0,
434,artichokes,1982,0.0,
435,artichokes,1983,0.0,
436,artichokes,1984,0.0,
437,artichokes,1985,0.0,
438,artichokes,1986,0.0,
439,artichokes,1987,0.0,
440,artichokes,1988,0.0,
441,artichokes,1989,0.0,
442,artichokes,1990,6.0,
443,artichokes,1991,0.0,
444,artichokes,1992,0.0,
445,artichokes,1993,0.0,
446,artichokes,1994,0.0,
447,artichokes,1995,0.0,
448,artichokes,1996,0.0,
449,artichokes,1997,0.0,
450,artichokes,1998,0.0,
451,artichokes,1999,0.0,
452,artichokes,2000,0.0,
453,artichokes,2001,0.0,
454,artichokes,2002,1.0,
455,artichokes,2003,0.0,
456,artichokes,2004,0.0,27772.0
457,artichokes,2005,0.0,19014.0
458,artichokes,2006,0.0,14286.0
459,artichokes,2007,0.0,11651.0
460,artichokes,2008,0.0,12911.0
461,artichokes,2009,0.0,7464.0
